month,smb,hml,umd,rf,rm,rmrf,SL,S2,S3,S4,SH,S2L,S22,S23,S24,S2H,M3L,M32,M33,M34,M3H,B4L,B42,B43,B44,B4H,BL,B2,B3,B4,BH
1996m6,-0.00768149,0.00080748,0.02481751,0.0045268823,-0.0120270893,-0.01655397,-0.01795063,-0.02675218,0.00320237,-0.01811889,-0.00917358,0.00091311,-0.01916352,0.01293456,-0.03196491,0.0101434,-0.04259492,0.00250566,-0.03394425,-0.03146136,-0.00706415,-0.03262743,-0.02347209,-0.03203713,-0.01568015,-0.01131241,0.01854299,-0.02193326,-0.0161206,-0.01002332,-0.01397772
1996m7,-0.02892928,0.01255261,-0.01907156,0.0044850278,-0.007471945,-0.01195697,-0.04327137,-0.04712036,-0.043992,-0.02845275,-0.03213594,-0.04851297,-0.03245733,-0.03338704,-0.03300053,-0.06271326,-0.05117645,-0.03566065,-0.04706928,-0.05647671,-0.00280516,-0.05160302,-0.02096375,0.03320201,-0.021853,-0.0084504,-0.01979969,-0.0020735,0.00890091,-0.01902336,0.00956228
1996m8,-0.00966471,-0.01035277,0.03555879,0.0044850278,0.0500103267,0.0455253,0.03762403,0.04261784,0.01836162,0.03702613,0.03296467,0.04865284,0.06178036,0.04951179,0.03588567,0.04276524,0.04699066,0.04855429,0.04746007,0.01918836,0.04753795,0.0596449,0.04220887,0.03419145,0.0291658,0.0513566,0.07235624,0.00475033,0.04345126,0.04325373,0.06141454
1996m9,-0.01084994,-0.00385923,0.01868775,0.0045101403,0.0187740576,0.01426392,0.00778741,0.01856877,0.01428637,0.01286181,0.01352468,-0.03590674,-0.03906288,-0.00320168,0.02755799,0.02157614,-0.00796669,0.01690067,0.0357275,0.02246885,-0.02392601,0.03557207,0.01004248,-0.01518862,-0.03788133,0.00750505,0.03325874,0.02499681,0.01975704,-0.00437048,0.01979245
1996m10,0.01289189,-0.01119855,0.02075985,0.0045771098,0.0080320859,0.00345498,0.01802515,-0.01108869,0.01361373,0.00885129,-0.00173483,0.01227795,0.03181113,0.02800989,0.01168355,0.00466225,0.03977862,0.0160103,0.03750964,0.00585158,-0.0153715,0.04754067,0.00177473,0.003322,-0.02279659,-0.01004697,-0.0022538,-0.0168383,0.01126432,-0.00479039,-0.01415632
1996m11,-0.02653149,0.01577872,-0.00907858,0.0049706463,0.0167385453,0.0117679,-0.00717612,-0.01451446,-0.0053794,-0.00335603,0.00232082,0.03496932,0.00268589,-0.04485883,0.0009557,-0.00782613,0.02563093,-0.00434545,-0.04939241,-0.01090631,0.0305756,0.03618415,-0.02664357,-0.03005593,0.00223967,0.00816052,0.02469986,-0.02739161,0.02405535,0.03666414,0.05567706
1996m12,-0.00800233,0.02275356,0.00359592,0.0049957707,0.0173487723,0.012353,0.01456649,-0.00072224,-0.00099663,0.01720038,0.01643639,0.00227598,0.00279219,0.00011093,0.02517851,0.06205687,-0.01448512,-0.01260053,0.0225649,0.01334505,0.03191148,0.03331505,-0.01415693,0.02999142,0.02217186,0.04100411,-0.00586156,0.05731601,0.00588574,0.03028473,0.0207893
1997m1,0.0377027,0.00190699,0.02752456,0.0048115384,0.0377967937,0.03298526,0.06866376,0.05267263,0.05814192,0.05000968,0.05903212,0.05292183,0.05748636,0.09400654,0.08830728,0.05275938,0.07039325,0.03463734,0.02034599,0.03253674,0.03507972,0.01555745,0.01746585,-0.0331242,0.00257241,0.01899659,0.02953646,-0.02168274,0.02556235,0.0064197,0.03087271
1997m2,0.00635043,-0.00211349,-0.01888347,0.004752926,0.0117687124,0.00701579,0.02103568,0.01408851,0.02114481,0.01103087,0.02874092,0.02971913,0.00759953,0.00913758,0.02628344,0.01521427,0.02275058,-0.01031883,-0.01496831,-0.00518835,0.02191059,0.01278839,0.02018548,-0.03493519,0.00441088,-0.00540696,0.02225025,-0.0319301,-0.00021161,0.00638112,0.03988053
1997m3,-0.02129368,0.0082016,-0.00443619,0.0048952763,0.0026033829,-0.00229189,-0.01632033,-0.01523858,-0.00935973,0.00252856,-0.01090921,-0.0156906,0.01500757,0.00592521,-0.01841956,-0.00549237,-0.05441134,0.01466357,0.01387199,0.0052491,-0.01779317,-0.05410142,-0.02059387,0.00651747,-0.02365425,0.0153404,0.01461443,0.05083974,0.01357687,0.03775398,-0.0263881
